OrdenID,MaterialID,Cantidad,PrecioUnitario,PrecioTotal
1,0,29,1.14,33.06
1,1,47,0.85,39.95
1,2,46,0.53,24.38
1,3,45,0.26,11.7
1,6,42,0.46,19.32
1,7,42,0.51,21.42
1,8,42,0.53,22.26
1,9,43,0.44,18.92
1,11,30,0.64,19.2
1,12,30,0.98,29.4
1,13,36,0.72,25.92
1,14,49,1.02,49.98
1,16,52,1.08,56.16
1,17,45,1.04,46.8
1,18,34,0.37,12.58
1,19,39,0.34,13.26
1,20,51,0.8,40.8
1,21,38,1.14,43.32
1,22,38,0.52,19.76
1,24,39,0.15,5.85
1,25,29,0.28,8.12
1,26,49,0.65,31.85
1,27,47,0.92,43.24
1,29,45,0.41,18.45
1,30,32,0.44,14.08
1,31,54,0.59,31.86
1,32,36,0.64,23.04
1,33,47,0.42,19.74
1,34,35,0.39,13.65
1,36,25,1.07,26.75
1,38,37,0.96,35.52
1,40,41,0.78,31.98
1,41,48,0.86,41.28
1,43,50,0.24,12.0
1,44,39,0.16,6.24
1,46,53,0.73,38.69
1,47,43,0.32,13.76
1,49,41,0.39,15.99
1,50,32,0.54,17.28
1,51,38,0.98,37.24
1,52,55,0.82,45.1
1,54,52,1.09,56.68
1,55,39,0.73,28.47
1,56,50,0.86,43.0
1,58,38,0.16,6.08
1,60,57,0.62,35.34
1,61,38,0.52,19.76
1,62,33,0.37,12.21
1,63,39,0.3,11.7
1,65,59,0.4,23.6
1,66,32,0.53,16.96
1,67,47,1.03,48.41
1,68,40,0.37,14.8
1,70,48,0.17,8.16
1,72,56,0.93,52.08
1,73,46,0.33,15.18
1,74,36,0.48,17.28
1,75,43,0.46,19.78
1,76,49,0.33,16.17
1,77,51,0.73,37.23
1,79,54,0.31,16.74
1,80,40,0.72,28.8
1,82,46,0.41,18.86
1,83,35,0.52,18.2
1,84,51,1.07,54.57
1,85,29,0.4,11.6
1,86,43,0.31,13.33
1,88,52,0.24,12.48
1,89,42,0.32,13.44
1,90,29,1.09,31.61
1,91,44,1.13,49.72
1,92,27,0.18,4.86
1,94,42,0.97,40.74
1,95,28,0.6,16.8
1,96,39,0.47,18.33
1,97,56,0.46,25.76
1,98,36,0.21,7.56
1,101,29,1.13,32.77
1,102,40,0.39,15.6
1,105,45,0.74,33.3
1,106,41,0.93,38.13
1,107,35,0.82,28.7
1,108,35,0.72,25.2
1,109,47,1.12,52.64
1,110,32,0.57,18.24
1,111,36,0.21,7.56
1,112,54,0.84,45.36
1,113,37,0.91,33.67
1,114,43,0.57,24.51
1,115,38,0.44,16.72
1,116,33,0.3,9.9
1,117,36,0.5,18.0
1,118,47,0.33,15.51
1,119,57,1.1,62.7
1,120,48,0.62,29.76
1,121,37,0.75,27.75
1,122,26,0.33,8.58
1,123,48,0.45,21.6
1,124,25,0.26,6.5
1,126,40,0.29,11.6
1,127,30,1.04,31.2
1,129,32,1.13,36.16
1,130,29,0.62,17.98
1,131,41,0.21,8.61
1,132,46,0.17,7.82
1,133,28,0.2,5.6
1,134,42,0.95,39.9
1,135,49,0.29,14.21
1,136,45,0.57,25.65
1,137,34,1.01,34.34
1,138,34,0.7,23.8
1,140,53,0.42,22.26
1,141,37,0.62,22.94
1,142,50,1.08,54.0
1,143,42,1.1,46.2
1,144,35,1.01,35.35
1,146,43,0.95,40.85
1,147,39,0.99,38.61
1,148,37,1.04,38.48
1,150,46,0.6,27.6
1,151,40,0.76,30.4
1,152,29,1.14,33.06
1,153,33,0.82,27.06
2,4,51,0.55,28.05
2,5,60,0.24,14.4
2,10,35,0.71,24.85
2,11,36,0.64,23.04
2,15,23,1.13,25.99
2,23,35,0.6,21.0
2,28,37,0.43,15.91
2,35,47,1.08,50.76
2,39,31,0.89,27.59
2,42,39,0.17,6.63
2,45,40,0.79,31.6
2,53,49,0.47,23.03
2,57,44,0.42,18.48
2,59,42,0.55,23.1
2,64,51,0.18,9.18
2,66,37,0.53,19.61
2,69,81,0.21,17.01
2,71,41,0.9,36.9
2,78,57,1.03,58.71
2,81,33,0.43,14.19
2,85,24,0.4,9.6
2,87,51,0.78,39.78
2,93,57,0.34,19.38
2,99,53,0.16,8.48
2,100,24,0.86,20.64
2,103,41,1.1,45.1
2,104,36,0.99,35.64
2,122,51,0.33,16.83
2,125,44,0.61,26.84
2,128,55,0.58,31.9
2,139,47,0.92,43.24
2,145,35,1.14,39.9
2,149,49,0.27,13.23
2,152,24,1.14,27.36
2,154,42,0.4,16.8
3,12,25,0.98,24.5
3,13,54,0.72,38.88
3,29,50,0.41,20.5
3,32,64,0.64,40.96
3,36,28,1.07,29.96
3,37,30,0.8,24.0
3,44,46,0.16,7.36
3,47,28,0.32,8.96
3,48,42,0.24,10.08
3,49,37,0.39,14.43
3,50,38,0.54,20.52
3,63,58,0.3,17.4
3,69,43,0.21,9.03
3,70,33,0.17,5.61
3,76,29,0.33,9.57
3,80,44,0.72,31.68
3,86,24,0.31,7.44
3,94,31,0.97,30.07
3,95,29,0.6,17.4
3,96,41,0.47,19.27
3,101,53,1.13,59.89
3,106,39,0.93,36.27
3,107,43,0.82,35.26
3,108,33,0.72,23.76
3,110,62,0.57,35.34
3,114,31,0.57,17.67
3,116,29,0.3,8.7
3,117,49,0.5,24.5
3,121,63,0.75,47.25
3,127,28,1.04,29.12
3,130,25,0.62,15.5
3,132,39,0.17,6.63
3,138,52,0.7,36.4
3,140,30,0.42,12.6
3,142,33,1.08,35.64
3,148,38,1.04,39.52
3,153,49,0.82,40.18
4,3,55,0.26,14.3
4,5,39,0.24,9.36
4,6,29,0.46,13.34
4,9,34,0.44,14.96
4,12,32,0.98,31.36
4,16,35,1.08,37.8
4,20,27,0.8,21.6
4,23,53,0.6,31.8
4,24,33,0.15,4.95
4,25,43,0.28,12.04
4,26,53,0.65,34.45
4,27,40,0.92,36.8
4,28,38,0.43,16.34
4,33,46,0.42,19.32
4,34,27,0.39,10.53
4,35,46,1.08,49.68
4,45,34,0.79,26.86
4,54,38,1.09,41.42
4,57,30,0.42,12.6
4,58,25,0.16,4.0
4,59,49,0.55,26.95
4,60,41,0.62,25.42
4,66,54,0.53,28.62
4,69,29,0.21,6.09
4,73,40,0.33,13.2
4,78,37,1.03,38.11
4,79,37,0.31,11.47
4,83,53,0.52,27.56
4,85,32,0.4,12.8
4,87,30,0.78,23.4
4,90,38,1.09,41.42
4,91,44,1.13,49.72
4,92,29,0.18,5.22
4,97,29,0.46,13.34
4,98,32,0.21,6.72
4,99,35,0.16,5.6
4,100,28,0.86,24.08
4,102,34,0.39,13.26
4,103,41,1.1,45.1
4,104,21,0.99,20.79
4,105,38,0.74,28.12
4,109,37,1.12,41.44
4,113,42,0.91,38.22
4,118,48,0.33,15.84
4,119,45,1.1,49.5
4,120,63,0.62,39.06
4,123,36,0.45,16.2
4,129,39,1.13,44.07
4,133,30,0.2,6.0
4,134,31,0.95,29.45
4,139,34,0.92,31.28
4,141,34,0.62,21.08
4,142,36,1.08,38.88
4,143,41,1.1,45.1
4,144,31,1.01,31.31
4,145,39,1.14,44.46
4,147,48,0.99,47.52
4,149,44,0.27,11.88
4,152,42,1.14,47.88
5,1,40,0.85,34.0
5,2,38,0.53,20.14
5,4,50,0.55,27.5
5,10,34,0.71,24.14
5,11,33,0.64,21.12
5,12,36,0.98,35.28
5,17,31,1.04,32.24
5,20,39,0.8,31.2
5,26,42,0.65,27.3
5,32,43,0.64,27.52
5,36,41,1.07,43.87
5,38,34,0.96,32.64
5,39,35,0.89,31.15
5,43,38,0.24,9.12
5,44,42,0.16,6.72
5,46,49,0.73,35.77
5,47,25,0.32,8.0
5,49,55,0.39,21.45
5,50,41,0.54,22.14
5,56,62,0.86,53.32
5,62,29,0.37,10.73
5,63,58,0.3,17.4
5,64,23,0.18,4.14
5,67,30,1.03,30.9
5,68,40,0.37,14.8
5,69,26,0.21,5.46
5,70,55,0.17,9.35
5,71,24,0.9,21.6
5,74,52,0.48,24.96
5,75,51,0.46,23.46
5,77,31,0.73,22.63
5,80,56,0.72,40.32
5,89,32,0.32,10.24
5,93,51,0.34,17.34
5,94,57,0.97,55.29
5,95,45,0.6,27.0
5,99,43,0.16,6.88
5,101,84,1.13,94.92
5,107,41,0.82,33.62
5,108,39,0.72,28.08
5,112,32,0.84,26.88
5,114,27,0.57,15.39
5,116,23,0.3,6.9
5,117,43,0.5,21.5
5,121,32,0.75,24.0
5,122,36,0.33,11.88
5,123,28,0.45,12.6
5,124,53,0.26,13.78
