Nombre,Modelo,Stock,CostoUnitario
Battery,B-114,68,0.89
Battery,B-378,67,0.2
Battery,B-655,82,0.46
Capacitor,C-315,71,0.6
Capacitor,C-583,73,0.21
Capacitor,C-629,57,0.21
Capacitor,C-732,88,0.51
Cathode Ray Tube,CTR-173,81,0.3
Cathode Ray Tube,CTR-286,79,0.74
Cathode Ray Tube,CTR-315,79,0.55
Cathode Ray Tube,CTR-762,65,0.24
Cathode Ray Tube,CTR-824,89,0.43
Cathode Ray Tube,CTR-841,66,1.03
Cathode Ray Tube,CTR-908,58,0.53
Cathode Ray Tube,CTR-95,87,0.3
Circuit Breaker,CBK-376,60,0.32
Circuit Breaker,CBK-67,74,0.82
Crystal resonator,CRS-80,67,0.34
Digital Signal Processor,DSP-572,71,0.41
Digital Signal Processor,DSP-833,49,0.18
Digital Signal Processor,DSP-995,59,0.44
Digital signal processor,DSP-178,72,0.91
Digital signal processor,DSP-767,75,0.39
Digital signal processor,DSP-831,74,0.79
Digital signal processor,DSP-863,69,0.37
Digital signal processor,DSP-912,88,0.46
Field effect Transistor,FET-372,85,0.7
Field effect Transistor,FET-487,89,0.18
Field effect Transistor,FET-693,88,0.17
Field effect Transistor,FET-777,66,0.65
Filament lamp,FLP-281,53,0.16
Filament lamp,FLP-3,86,0.54
Filament lamp,FLP-315,55,0.28
Filament lamp,FLP-564,71,0.33
Filament lamp,FLP-741,68,0.33
Filament lamp,FLP-918,83,0.84
Fuse,F-1,56,0.53
Fuse,F-18,62,1.1
Fuse,F-407,81,0.44
Fuse,F-415,85,0.4
Fuse,F-553,68,0.96
Fuse,F-658,80,0.59
Fuse,F-814,72,1.09
Gas Discharge Tube,GDT-128,76,0.98
Gas Discharge Tube,GDT-702,65,0.44
Glass Lense,GL-192,86,0.27
Glass Lense,GL-4,82,0.72
Glass Lense,GL-509,84,0.99
Glass Lense,GL-915,64,1.08
Glass Lense,GL-967,83,0.58
Integrated Circuit,IC-107,68,1.1
Integrated Circuit,IC-238,91,0.71
Integrated Circuit,IC-364,79,0.17
Integrated Circuit,IC-7,76,1.14
Integrated Circuit,IC-748,56,0.24
Integrated Circuit,IC-880,82,0.57
LCD Screen,LCD-119,68,0.29
