BoletaID,MaterialID,Cantidad
1,2,3
1,3,4
1,5,7
1,6,3
1,8,6
1,10,1
1,11,5
1,14,2
1,15,4
1,20,6
1,23,4
1,25,5
1,27,4
1,28,9
1,30,1
1,32,9
1,33,10
1,44,3
1,45,8
1,46,4
1,53,1
1,54,5
1,55,1
1,57,5
1,58,1
1,60,5
1,61,6
1,62,5
1,63,9
1,64,9
1,65,1
1,66,8
1,67,5
1,68,1
1,69,9
1,73,5
1,76,11
1,78,7
1,79,2
1,81,5
1,82,3
1,85,8
1,86,10
1,87,5
1,89,1
1,90,3
1,91,5
1,92,3
1,93,1
1,94,3
1,96,4
1,100,1
1,103,4
1,104,3
1,105,8
1,109,4
1,114,4
1,116,3
1,118,3
1,119,7
1,120,3
1,121,1
1,122,9
1,123,10
1,124,5
1,127,3
1,128,5
1,129,6
1,134,5
1,135,2
1,138,7
1,139,3
1,141,1
1,142,3
1,143,5
1,145,5
1,149,4
1,154,3
2,1,5
2,2,5
2,3,4
2,5,9
2,10,1
2,11,10
2,12,6
2,16,3
2,20,2
2,23,3
2,24,1
2,25,2
2,26,7
2,27,3
2,28,2
2,29,6
2,31,3
2,35,4
2,44,6
2,45,1
2,47,1
2,49,5
2,50,2
2,51,1
2,52,5
2,55,1
2,60,7
2,63,5
2,66,4
2,69,6
2,70,6
2,71,3
2,74,2
2,76,2
2,77,5
2,78,4
2,80,1
2,85,5
2,86,6
2,87,6
2,90,2
2,91,2
2,92,4
2,93,7
2,94,1
2,97,3
2,99,1
2,101,6
2,103,6
2,104,3
2,105,2
2,106,5
2,114,4
2,117,3
2,118,1
2,119,8
2,121,6
2,122,3
2,123,5
2,127,2
2,133,3
2,134,1
2,137,5
2,139,7
2,140,6
2,141,4
2,142,7
2,143,2
2,145,6
2,148,8
2,149,3
2,153,7
3,3,3
3,4,4
3,6,5
3,7,10
3,8,4
3,10,5
3,11,4
3,12,2
3,13,4
3,16,2
3,17,3
3,19,1
3,20,4
3,23,1
3,27,4
3,30,5
3,32,5
3,33,1
3,35,6
3,36,7
3,39,5
3,40,4
3,43,4
3,45,5
3,46,5
3,47,8
3,51,1
3,54,5
3,56,4
3,57,1
3,59,7
3,65,5
3,66,8
3,67,3
3,69,3
3,70,8
3,71,1
3,72,1
3,73,1
3,75,10
3,76,3
3,78,5
3,80,5
3,83,8
3,84,10
3,85,7
3,86,4
3,89,1
3,92,1
3,93,4
3,94,7
3,95,5
3,96,4
3,99,6
3,101,1
3,102,1
3,103,4
3,104,5
3,106,2
3,107,11
3,108,11
3,109,5
3,110,8
3,112,4
3,113,3
3,114,5
3,116,1
3,117,5
3,120,11
3,121,1
3,125,4
3,128,5
3,130,4
3,135,3
3,136,2
3,141,4
3,142,6
3,143,4
3,144,4
3,147,5
3,148,4
3,149,2
3,152,9
3,153,2
4,4,9
4,5,4
4,7,3
4,11,8
4,12,4
4,13,9
4,21,3
4,24,5
4,26,6
4,29,10
4,31,3
4,34,3
4,35,2
4,37,1
4,39,7
4,40,4
4,42,3
4,44,5
4,45,2
4,47,2
4,48,2
4,49,5
4,50,4
4,53,5
4,58,1
4,59,13
4,64,4
4,66,6
4,67,2
4,69,9
4,70,2
4,73,4
4,76,2
4,77,5
4,78,5
4,83,3
4,86,3
4,87,8
4,88,2
4,89,3
4,99,4
4,101,4
4,102,1
4,107,5
4,108,6
4,110,10
4,113,1
4,114,4
4,115,5
4,117,5
4,119,3
4,122,10
4,127,2
4,130,3
4,132,12
4,137,1
4,140,7
4,142,4
4,146,3
4,147,3
4,148,4
4,149,3
4,150,3
4,151,4
4,152,15
4,153,5
4,154,2
5,3,5
5,5,7
5,7,4
5,8,2
5,12,4
5,19,4
5,24,6
5,29,5
5,30,1
5,33,3
5,38,3
5,44,4
5,50,5
5,57,9
5,60,4
5,62,5
5,63,2
5,66,1
5,69,7
5,71,5
5,73,1
5,76,5
5,78,2
5,80,3
5,84,3
5,85,2
5,88,2
5,91,4
5,92,2
5,93,4
5,94,7
5,97,4
5,98,2
5,103,3
5,105,2
5,106,3
5,107,5
5,111,3
5,112,1
5,113,8
5,115,3
5,116,4
5,117,2
5,119,4
5,120,5
5,124,1
5,125,4
5,126,2
5,127,6
5,128,1
5,133,1
5,138,5
5,139,4
5,141,3
5,143,2
5,145,1
5,148,9
5,149,6
5,153,4
6,1,3
6,4,5
6,6,4
6,9,1
6,12,4
6,13,8
6,16,2
6,20,5
6,22,3
6,29,1
6,30,2
6,34,1
6,35,3
6,41,4
6,45,4
6,49,5
6,50,4
6,52,1
6,53,4
6,54,2
6,55,4
6,56,9
6,58,4
6,59,1
6,69,7
6,71,2
