ClienteID,ProductoID,CostoProducto,FechaCompra
352,120,407.42,2012-05-08
352,59,73.46,2012-05-08
352,113,49.32,2012-05-08
292,45,232.86,2012-05-08
379,51,78.02,2012-05-08
67,67,89.74,2012-05-08
67,19,92.42,2012-05-08
26,90,146.12,2012-05-08
26,65,88.85,2012-05-08
26,29,182.49,2012-05-08
47,85,77.33,2012-05-09
47,98,124.97,2012-05-09
230,19,92.42,2012-05-09
376,76,63.03,2012-05-09
376,3,59.91,2012-05-09
376,8,76.74,2012-05-09
89,62,75.9,2012-05-09
89,11,76.03,2012-05-09
89,14,76.92,2012-05-09
301,73,79.79,2012-05-10
301,50,85.4,2012-05-10
67,70,73.58,2012-05-10
67,103,61.13,2012-05-10
67,42,237.69,2012-05-10
186,78,64.56,2012-05-10
186,111,47.68,2012-05-10
237,103,61.13,2012-05-10
237,47,318.82,2012-05-10
237,117,403.81,2012-05-10
440,73,79.79,2012-05-11
440,122,418.85,2012-05-11
228,71,76.76,2012-05-11
228,73,79.79,2012-05-11
228,43,228.13,2012-05-11
47,25,99.92,2012-05-11
211,40,262.88,2012-05-11
211,38,243.94,2012-05-11
211,16,90.74,2012-05-11
198,65,88.85,2012-05-12
198,2,62.89,2012-05-12
168,17,94.33,2012-05-12
168,112,52.01,2012-05-12
168,14,76.92,2012-05-12
393,56,105.53,2012-05-12
393,54,84.3,2012-05-12
11,71,76.76,2012-05-13
11,66,93.11,2012-05-13
224,123,442.22,2012-05-13
224,82,73.72,2012-05-13
287,115,387.98,2012-05-13
287,36,228.82,2012-05-13
372,52,81.82,2012-05-13
372,106,61.12,2012-05-13
74,17,94.33,2012-05-14
238,124,404.32,2012-05-14
219,33,229.39,2012-05-14
219,57,102.56,2012-05-14
219,106,61.12,2012-05-14
31,27,185.07,2012-05-14
31,126,412.38,2012-05-14
31,71,76.76,2012-05-14
318,29,182.49,2012-05-15
354,71,76.76,2012-05-15
13,58,101.73,2012-05-15
13,106,61.12,2012-05-15
13,41,253.58,2012-05-15
391,30,192.75,2012-05-15
391,34,222.17,2012-05-15
391,95,105.89,2012-05-15
118,105,57.61,2012-05-15
118,104,57.29,2012-05-15
118,9,83.18,2012-05-15
349,29,182.49,2012-05-16
349,4,61.48,2012-05-16
252,60,77.81,2012-05-16
252,111,47.68,2012-05-16
167,102,115.28,2012-05-16
167,104,57.29,2012-05-16
160,87,142.51,2012-05-16
160,76,63.03,2012-05-16
160,18,89.96,2012-05-16
50,45,232.86,2012-05-17
50,52,81.82,2012-05-17
313,71,76.76,2012-05-17
313,46,312.37,2012-05-17
313,92,101.09,2012-05-17
267,104,57.29,2012-05-17
267,22,97.04,2012-05-17
26,61,77.22,2012-05-18
26,62,75.9,2012-05-18
401,38,243.94,2012-05-18
401,55,95.03,2012-05-18
290,66,93.11,2012-05-18
290,29,182.49,2012-05-18
290,121,434.9,2012-05-18
9,58,101.73,2012-05-18
9,102,115.28,2012-05-18
9,31,177.82,2012-05-18
442,61,77.22,2012-05-19
426,47,318.82,2012-05-19
426,39,264.06,2012-05-19
426,107,60.11,2012-05-19
10,15,91.78,2012-05-19
85,39,264.06,2012-05-19
85,67,89.74,2012-05-19
85,11,76.03,2012-05-19
276,91,94.95,2012-05-20
276,121,434.9,2012-05-20
273,14,76.92,2012-05-20
273,69,88.36,2012-05-20
273,18,89.96,2012-05-20
16,91,94.95,2012-05-20
16,85,77.33,2012-05-20
16,84,77.43,2012-05-20
191,85,77.33,2012-05-21
191,49,304.42,2012-05-21
191,41,253.58,2012-05-21
255,24,104.4,2012-05-21
255,12,77.29,2012-05-21
114,40,262.88,2012-05-21
173,84,77.43,2012-05-21
173,95,105.89,2012-05-21
131,63,79.69,2012-05-22
413,3,59.91,2012-05-22
183,20,93.38,2012-05-22
183,53,81.14,2012-05-22
183,72,77.01,2012-05-22
55,41,253.58,2012-05-22
294,68,91.51,2012-05-22
294,47,318.82,2012-05-22
294,28,193.89,2012-05-22
157,27,185.07,2012-05-23
157,109,62.19,2012-05-23
83,90,146.12,2012-05-23
83,78,64.56,2012-05-23
199,16,90.74,2012-05-23
199,5,63.18,2012-05-23
223,67,89.74,2012-05-23
223,56,105.53,2012-05-23
434,21,99.24,2012-05-23
264,12,77.29,2012-05-23
264,22,97.04,2012-05-23
29,48,326.31,2012-05-24
29,22,97.04,2012-05-24
29,108,63.14,2012-05-24
388,40,262.88,2012-05-24
388,76,63.03,2012-05-24
224,72,77.01,2012-05-24
224,126,412.38,2012-05-24
224,108,63.14,2012-05-24
199,64,86.1,2012-05-25
199,123,442.22,2012-05-25
199,111,47.68,2012-05-25
312,104,57.29,2012-05-25
190,9,83.18,2012-05-25
185,46,312.37,2012-05-25
99,73,79.79,2012-05-25
99,40,262.88,2012-05-25
267,25,99.92,2012-05-26
267,98,124.97,2012-05-26
223,94,105.48,2012-05-26
223,64,86.1,2012-05-26
309,67,89.74,2012-05-26
309,69,88.36,2012-05-26
256,120,407.42,2012-05-26
204,27,185.07,2012-05-26
134,28,193.89,2012-05-27
129,55,95.03,2012-05-27
