"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-446', '1', '20.43']"
"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-637', '1', '24.98']"
"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-437', '1', '23.73']"
"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-117', '1', '31.44']"
"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-652', '1', '25.16']"
"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-667', '1', '35.81']"
"['BayitHome Switch', 'http://www.bayithomeautomation.com/products/bayit-switch/', 'SS-831', '1', '51.17']"
"['BayitHome Switch', 'http://www.bayithomeautomation.com/products/bayit-switch/', 'SS-1000', '1', '51.98']"
"['BayitHome Switch', 'http://www.bayithomeautomation.com/products/bayit-switch/', 'SS-5', '1', '46.36']"
"['BayitHome Switch', 'http://www.bayithomeautomation.com/products/bayit-switch/', 'SS-306', '1', '37.05']"
"['BayitHome Switch', 'http://www.bayithomeautomation.com/products/bayit-switch/', 'SS-279', '1', '53.26']"
"['BlueSpray Irrigation', 'https://www.bluespray.net/', 'IRS-73', '2', '84.58']"
"['BlueSpray Irrigation', 'https://www.bluespray.net/', 'IRS-42', '2', '134.13']"
"['BlueSpray Irrigation', 'https://www.bluespray.net/', 'IRS-834', '2', '94.17']"
"['BlueSpray Irrigation', 'https://www.bluespray.net/', 'IRS-565', '2', '77.89']"
"['BlueSpray Irrigation', 'https://www.bluespray.net/', 'IRS-143', '2', '87.46']"
"['Blossom Sprinkler System', 'https://www.myblossom.com/', 'IRS-731', '2', '135.06']"
"['Blossom Sprinkler System', 'https://www.myblossom.com/', 'IRS-844', '2', '127.69']"
"['Blossom Sprinkler System', 'https://www.myblossom.com/', 'IRS-722', '2', '157.98']"
"['Blossom Sprinkler System', 'https://www.myblossom.com/', 'IRS-926', '2', '100.36']"
"['Blossom Sprinkler System', 'https://www.myblossom.com/', 'IRS-329', '2', '142.38']"
